category,item,variety,date,price,unit
fruit,apples,bramleys_seedling,3/11/2022,2.05,kg
fruit,apples,coxs_orange_group,3/11/2022,1.22,kg
fruit,apples,egremont_russet,3/11/2022,1.14,kg
fruit,apples,braeburn,3/11/2022,1.05,kg
fruit,apples,gala,3/11/2022,1.03,kg
fruit,apples,other_late_season,3/11/2022,0.85,kg
fruit,pears,conference,3/11/2022,0.77,kg
fruit,pears,doyenne_du_comice,3/11/2022,1.24,kg
vegetable,beetroot,beetroot,3/11/2022,0.52,kg
vegetable,brussels_sprouts,brussels_sprouts,3/11/2022,0.78,kg
vegetable,pak_choi,pak_choi,3/11/2022,3.17,kg
vegetable,curly_kale,curly_kale,3/11/2022,3.17,kg
vegetable,cabbage,red,3/11/2022,0.59,kg
vegetable,cabbage,savoy,3/11/2022,0.51,head
vegetable,spring_greens,prepacked,3/11/2022,1.04,kg
vegetable,cabbage,white,3/11/2022,0.41,kg
vegetable,cabbage,round_green_other,3/11/2022,0.46,head
vegetable,carrots,topped_washed,3/11/2022,0.42,kg
vegetable,cauliflower,all,3/11/2022,0.7,head
vegetable,celeriac,celeriac,3/11/2022,0.81,kg
vegetable,cucumbers,cucumbers,3/11/2022,1.35,kg
vegetable,leeks,trimmed,3/11/2022,1.12,kg
vegetable,lettuce,butterhead_indoor,3/11/2022,0.44,head
vegetable,lettuce,little_gem,3/11/2022,0.78,twin
vegetable,onion,bulb_brown,3/11/2022,0.39,kg
vegetable,onion,bulb_red,3/11/2022,0.59,kg
vegetable,swede,swede,3/11/2022,0.24,kg
vegetable,turnip,turnip,3/11/2022,0.63,kg
vegetable,parsnips,all_varieties,3/11/2022,1,kg
vegetable,rhubarb,forced,3/11/2022,4.35,kg
vegetable,rhubarb,outdoor,3/11/2022,3.07,kg
cut_flowers,tulips,tulips,3/11/2022,0.29,stem
fruit,apples,bramleys_seedling,3/4/2022,1.89,kg
fruit,apples,coxs_orange_group,3/4/2022,1.17,kg
fruit,apples,egremont_russet,3/4/2022,1.16,kg
fruit,apples,braeburn,3/4/2022,1.07,kg
fruit,apples,gala,3/4/2022,1.06,kg
fruit,apples,other_late_season,3/4/2022,1.11,kg
fruit,pears,conference,3/4/2022,0.88,kg
fruit,pears,doyenne_du_comice,3/4/2022,1.03,kg
vegetable,beetroot,beetroot,3/4/2022,0.5,kg
vegetable,brussels_sprouts,brussels_sprouts,3/4/2022,0.77,kg
vegetable,pak_choi,pak_choi,3/4/2022,3.21,kg
vegetable,curly_kale,curly_kale,3/4/2022,3.17,kg
vegetable,cabbage,red,3/4/2022,0.56,kg
vegetable,cabbage,savoy,3/4/2022,0.52,head
vegetable,spring_greens,prepacked,3/4/2022,1.05,kg
vegetable,cabbage,white,3/4/2022,0.38,kg
vegetable,cabbage,round_green_other,3/4/2022,0.47,head
vegetable,capsicum,red,3/4/2022,0.95,kg
vegetable,carrots,topped_washed,3/4/2022,0.44,kg
vegetable,cauliflower,all,3/4/2022,0.7,head
vegetable,celeriac,celeriac,3/4/2022,0.81,kg
vegetable,cucumbers,cucumbers,3/4/2022,1.32,kg
vegetable,leeks,trimmed,3/4/2022,1.11,kg
vegetable,lettuce,butterhead_indoor,3/4/2022,0.47,head
vegetable,lettuce,little_gem,3/4/2022,0.79,twin
vegetable,onion,bulb_brown,3/4/2022,0.41,kg
vegetable,onion,bulb_red,3/4/2022,0.56,kg
vegetable,swede,swede,3/4/2022,0.24,kg
vegetable,turnip,turnip,3/4/2022,1.07,kg
